K=1,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5237633365664404
K=1,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5257032007759457
K=1,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5266731328806984
K=1,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.518913676042677
K=1,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5208535402521823
K=1,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5257032007759457
K=1,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5257032007759457
K=1,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.524733268671193
K=1,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5373423860329777
K=1,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5237633365664404
K=1,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5227934044616876
K=1,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5295829291949563
K=1,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5324927255092143
K=1,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5237633365664404
K=1,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5111542192046556
K=1,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.524733268671193
K=1,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5257032007759457
K=1,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5169738118331717
K=1,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.539282250242483
K=1,weight=2.000000,tolerance=0.100000, penalty=40, maximum training acc=0.510184287099903
K=1,weight=2.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5257032007759457
K=1,weight=2.000000,tolerance=0.001000, penalty=10, maximum training acc=0.524733268671193
K=1,weight=2.000000,tolerance=0.001000, penalty=20, maximum training acc=0.5092143549951503
K=1,weight=2.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5344325897187197
K=1,weight=2.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5150339476236664
K=1,weight=2.000000,tolerance=0.000010, penalty=1, maximum training acc=0.524733268671193
K=1,weight=2.000000,tolerance=0.000010, penalty=10, maximum training acc=0.527643064985451
K=1,weight=2.000000,tolerance=0.000010, penalty=20, maximum training acc=0.530552861299709
K=1,weight=2.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5354025218234724
K=1,weight=2.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5315227934044617
K=1,weight=4.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5266731328806984
K=1,weight=4.000000,tolerance=0.100000, penalty=10, maximum training acc=0.521823472356935
K=1,weight=4.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5324927255092143
K=1,weight=4.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5169738118331717
K=1,weight=4.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5257032007759457
K=1,weight=4.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5257032007759457
K=1,weight=4.000000,tolerance=0.001000, penalty=10, maximum training acc=0.527643064985451
K=1,weight=4.000000,tolerance=0.001000, penalty=20, maximum training acc=0.5431619786614937
K=1,weight=4.000000,tolerance=0.001000, penalty=30, maximum training acc=0.518913676042677
K=1,weight=4.000000,tolerance=0.001000, penalty=40, maximum training acc=0.518913676042677
K=1,weight=4.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5237633365664404
K=1,weight=4.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5295829291949563
K=1,weight=4.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5257032007759457
K=1,weight=4.000000,tolerance=0.000010, penalty=30, maximum training acc=0.524733268671193
K=1,weight=4.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5257032007759457
K=1,weight=6.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5266731328806984
K=1,weight=6.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5286129970902037
K=1,weight=6.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5402521823472357
K=1,weight=6.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5344325897187197
K=1,weight=6.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5179437439379243
K=1,weight=6.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5257032007759457
K=1,weight=6.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5295829291949563
K=1,weight=6.000000,tolerance=0.001000, penalty=20, maximum training acc=0.5208535402521823
K=1,weight=6.000000,tolerance=0.001000, penalty=30, maximum training acc=0.518913676042677
K=1,weight=6.000000,tolerance=0.001000, penalty=40, maximum training acc=0.524733268671193
K=1,weight=6.000000,tolerance=0.000010, penalty=1, maximum training acc=0.524733268671193
K=1,weight=6.000000,tolerance=0.000010, penalty=10, maximum training acc=0.524733268671193
K=1,weight=6.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5237633365664404
K=1,weight=6.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5286129970902037
K=1,weight=6.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5082444228903976
