K=1,weight=0.000000,tolerance=0.100000, penalty=1,training time : 0.276261, testing time: 0.016955 
K=1,weight=0.000000,tolerance=0.100000, penalty=10,training time : 0.499663, testing time: 0.016955 
K=1,weight=0.000000,tolerance=0.100000, penalty=20,training time : 0.545541, testing time: 0.015958 
K=1,weight=0.000000,tolerance=0.100000, penalty=30,training time : 0.474731, testing time: 0.014960 
K=1,weight=0.000000,tolerance=0.100000, penalty=40,training time : 0.749994, testing time: 0.014960 
K=1,weight=0.000000,tolerance=0.001000, penalty=1,training time : 0.429851, testing time: 0.014960 
K=1,weight=0.000000,tolerance=0.001000, penalty=10,training time : 0.469809, testing time: 0.015957 
K=1,weight=0.000000,tolerance=0.001000, penalty=20,training time : 0.461766, testing time: 0.016004 
K=1,weight=0.000000,tolerance=0.001000, penalty=30,training time : 0.552523, testing time: 0.015958 
K=1,weight=0.000000,tolerance=0.001000, penalty=40,training time : 0.516618, testing time: 0.016955 
K=1,weight=0.000000,tolerance=0.000010, penalty=1,training time : 0.460767, testing time: 0.015957 
K=1,weight=0.000000,tolerance=0.000010, penalty=10,training time : 0.458773, testing time: 0.015958 
K=1,weight=0.000000,tolerance=0.000010, penalty=20,training time : 0.462762, testing time: 0.015016 
K=1,weight=0.000000,tolerance=0.000010, penalty=30,training time : 0.469744, testing time: 0.014960 
K=1,weight=0.000000,tolerance=0.000010, penalty=40,training time : 0.739024, testing time: 0.015957 
K=1,weight=2.000000,tolerance=0.100000, penalty=1,training time : 0.273269, testing time: 0.016956 
K=1,weight=2.000000,tolerance=0.100000, penalty=10,training time : 0.545540, testing time: 0.014960 
K=1,weight=2.000000,tolerance=0.100000, penalty=20,training time : 0.464758, testing time: 0.016956 
K=1,weight=2.000000,tolerance=0.100000, penalty=30,training time : 0.470741, testing time: 0.016955 
K=1,weight=2.000000,tolerance=0.100000, penalty=40,training time : 0.485701, testing time: 0.017952 
K=1,weight=2.000000,tolerance=0.001000, penalty=1,training time : 0.419878, testing time: 0.014961 
K=1,weight=2.000000,tolerance=0.001000, penalty=10,training time : 0.465754, testing time: 0.015958 
