iteration=3, K=1, weight=0.000000, tolerance=0.100000, penalty=1, testing accuracy=0.619211
iteration=3, K=1, weight=0.000000, tolerance=0.100000, penalty=10, testing accuracy=0.629503
iteration=3, K=1, weight=0.000000, tolerance=0.100000, penalty=20, testing accuracy=0.557461
iteration=3, K=1, weight=0.000000, tolerance=0.100000, penalty=30, testing accuracy=0.535163
iteration=3, K=1, weight=0.000000, tolerance=0.100000, penalty=40, testing accuracy=0.651801
iteration=3, K=1, weight=0.000000, tolerance=0.001000, penalty=1, testing accuracy=0.620926
iteration=3, K=1, weight=0.000000, tolerance=0.001000, penalty=10, testing accuracy=0.632933
iteration=3, K=1, weight=0.000000, tolerance=0.001000, penalty=20, testing accuracy=0.560892
iteration=3, K=1, weight=0.000000, tolerance=0.001000, penalty=30, testing accuracy=0.696398
iteration=3, K=1, weight=0.000000, tolerance=0.001000, penalty=40, testing accuracy=0.583190
iteration=3, K=1, weight=0.000000, tolerance=0.000010, penalty=1, testing accuracy=0.615780
iteration=3, K=1, weight=0.000000, tolerance=0.000010, penalty=10, testing accuracy=0.615780
iteration=3, K=1, weight=0.000000, tolerance=0.000010, penalty=20, testing accuracy=0.639794
iteration=3, K=1, weight=0.000000, tolerance=0.000010, penalty=30, testing accuracy=0.557461
iteration=3, K=1, weight=0.000000, tolerance=0.000010, penalty=40, testing accuracy=0.567753
iteration=3, K=1, weight=2.000000, tolerance=0.100000, penalty=1, testing accuracy=0.617496
iteration=3, K=1, weight=2.000000, tolerance=0.100000, penalty=10, testing accuracy=0.641509
iteration=3, K=1, weight=2.000000, tolerance=0.100000, penalty=20, testing accuracy=0.639794
iteration=3, K=1, weight=2.000000, tolerance=0.100000, penalty=30, testing accuracy=0.536878
iteration=3, K=1, weight=2.000000, tolerance=0.100000, penalty=40, testing accuracy=0.634648
iteration=3, K=1, weight=2.000000, tolerance=0.001000, penalty=1, testing accuracy=0.620926
iteration=3, K=1, weight=2.000000, tolerance=0.001000, penalty=10, testing accuracy=0.639794
iteration=3, K=1, weight=2.000000, tolerance=0.001000, penalty=20, testing accuracy=0.619211
iteration=3, K=1, weight=2.000000, tolerance=0.001000, penalty=30, testing accuracy=0.550600
iteration=3, K=1, weight=2.000000, tolerance=0.001000, penalty=40, testing accuracy=0.605489
iteration=3, K=1, weight=2.000000, tolerance=0.000010, penalty=1, testing accuracy=0.622642
iteration=3, K=1, weight=2.000000, tolerance=0.000010, penalty=10, testing accuracy=0.644940
iteration=3, K=1, weight=2.000000, tolerance=0.000010, penalty=20, testing accuracy=0.646655
iteration=3, K=1, weight=2.000000, tolerance=0.000010, penalty=30, testing accuracy=0.572899
iteration=3, K=1, weight=2.000000, tolerance=0.000010, penalty=40, testing accuracy=0.571184
iteration=3, K=1, weight=4.000000, tolerance=0.100000, penalty=1, testing accuracy=0.622642
iteration=3, K=1, weight=4.000000, tolerance=0.100000, penalty=10, testing accuracy=0.650086
iteration=3, K=1, weight=4.000000, tolerance=0.100000, penalty=20, testing accuracy=0.632933
iteration=3, K=1, weight=4.000000, tolerance=0.100000, penalty=30, testing accuracy=0.578045
iteration=3, K=1, weight=4.000000, tolerance=0.100000, penalty=40, testing accuracy=0.619211
iteration=3, K=1, weight=4.000000, tolerance=0.001000, penalty=1, testing accuracy=0.617496
iteration=3, K=1, weight=4.000000, tolerance=0.001000, penalty=10, testing accuracy=0.619211
iteration=3, K=1, weight=4.000000, tolerance=0.001000, penalty=20, testing accuracy=0.656947
iteration=3, K=1, weight=4.000000, tolerance=0.001000, penalty=30, testing accuracy=0.658662
iteration=3, K=1, weight=4.000000, tolerance=0.001000, penalty=40, testing accuracy=0.602058
iteration=3, K=1, weight=4.000000, tolerance=0.000010, penalty=1, testing accuracy=0.622642
iteration=3, K=1, weight=4.000000, tolerance=0.000010, penalty=10, testing accuracy=0.603774
iteration=3, K=1, weight=4.000000, tolerance=0.000010, penalty=20, testing accuracy=0.607204
iteration=3, K=1, weight=4.000000, tolerance=0.000010, penalty=30, testing accuracy=0.665523
iteration=3, K=1, weight=4.000000, tolerance=0.000010, penalty=40, testing accuracy=0.509434
iteration=3, K=1, weight=6.000000, tolerance=0.100000, penalty=1, testing accuracy=0.620926
iteration=3, K=1, weight=6.000000, tolerance=0.100000, penalty=10, testing accuracy=0.627787
iteration=3, K=1, weight=6.000000, tolerance=0.100000, penalty=20, testing accuracy=0.696398
iteration=3, K=1, weight=6.000000, tolerance=0.100000, penalty=30, testing accuracy=0.622642
iteration=3, K=1, weight=6.000000, tolerance=0.100000, penalty=40, testing accuracy=0.614065
iteration=3, K=1, weight=6.000000, tolerance=0.001000, penalty=1, testing accuracy=0.620926
iteration=3, K=1, weight=6.000000, tolerance=0.001000, penalty=10, testing accuracy=0.651801
iteration=3, K=1, weight=6.000000, tolerance=0.001000, penalty=20, testing accuracy=0.620926
iteration=3, K=1, weight=6.000000, tolerance=0.001000, penalty=30, testing accuracy=0.562607
iteration=3, K=1, weight=6.000000, tolerance=0.001000, penalty=40, testing accuracy=0.559177
iteration=3, K=1, weight=6.000000, tolerance=0.000010, penalty=1, testing accuracy=0.624357
iteration=3, K=1, weight=6.000000, tolerance=0.000010, penalty=10, testing accuracy=0.636364
iteration=3, K=1, weight=6.000000, tolerance=0.000010, penalty=20, testing accuracy=0.581475
iteration=3, K=1, weight=6.000000, tolerance=0.000010, penalty=30, testing accuracy=0.632933
iteration=3, K=1, weight=6.000000, tolerance=0.000010, penalty=40, testing accuracy=0.550600
iteration=3, K=1, weight=8.000000, tolerance=0.100000, penalty=1, testing accuracy=0.617496
iteration=3, K=1, weight=8.000000, tolerance=0.100000, penalty=10, testing accuracy=0.650086
iteration=3, K=1, weight=8.000000, tolerance=0.100000, penalty=20, testing accuracy=0.656947
iteration=3, K=1, weight=8.000000, tolerance=0.100000, penalty=30, testing accuracy=0.641509
iteration=3, K=1, weight=8.000000, tolerance=0.100000, penalty=40, testing accuracy=0.622642
iteration=3, K=1, weight=8.000000, tolerance=0.001000, penalty=1, testing accuracy=0.622642
iteration=3, K=1, weight=8.000000, tolerance=0.001000, penalty=10, testing accuracy=0.655232
iteration=3, K=1, weight=8.000000, tolerance=0.001000, penalty=20, testing accuracy=0.612350
iteration=3, K=1, weight=8.000000, tolerance=0.001000, penalty=30, testing accuracy=0.622642
iteration=3, K=1, weight=8.000000, tolerance=0.001000, penalty=40, testing accuracy=0.646655
iteration=3, K=1, weight=8.000000, tolerance=0.000010, penalty=1, testing accuracy=0.620926
