iteration:1, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=1 : 1.678512
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=10 : 3.183488
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=20 : 1.875983
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=30 : 3.094725
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.100000, penalty=40 : 1.877978
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=1 : 2.980032
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=10 : 3.131626
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=20 : 1.838085
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=30 : 1.869003
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.001000, penalty=40 : 1.861024
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=1 : 2.983024
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=10 : 3.134618
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=20 : 3.163541
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=30 : 1.867008
iteration:1, computational time when k=1,weight=0.000000, tolerance=0.000010, penalty=40 : 1.882966
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=1 : 1.731370
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=10 : 1.839082
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=20 : 1.892938
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=30 : 1.888949
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.100000, penalty=40 : 1.955771
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=1 : 1.883962
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=10 : 1.859029
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=20 : 1.838086
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=30 : 1.893935
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.001000, penalty=40 : 1.925850
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=1 : 1.837088
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=10 : 1.849056
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=20 : 1.877978
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=30 : 1.932832
iteration:1, computational time when k=1,weight=2.000000, tolerance=0.000010, penalty=40 : 1.931834
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=1 : 1.779243
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=10 : 1.989679
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=20 : 2.099387
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=30 : 1.846064
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.100000, penalty=40 : 1.893936
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=1 : 1.855983
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=10 : 1.850053
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=20 : 1.858032
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=30 : 1.856037
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.001000, penalty=40 : 1.890944
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=1 : 1.869002
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=10 : 1.868005
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=20 : 1.890944
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=30 : 1.897925
iteration:1, computational time when k=1,weight=4.000000, tolerance=0.000010, penalty=40 : 1.914880
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=1 : 1.701451
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=10 : 1.835093
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=20 : 1.822129
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=30 : 1.888948
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.100000, penalty=40 : 1.881968
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.001000, penalty=1 : 1.918869
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.001000, penalty=10 : 1.869002
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.001000, penalty=20 : 1.875984
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.001000, penalty=30 : 1.863018
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.001000, penalty=40 : 1.818139
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.000010, penalty=1 : 1.961755
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.000010, penalty=10 : 1.958763
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.000010, penalty=20 : 1.898922
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.000010, penalty=30 : 1.873990
iteration:1, computational time when k=1,weight=6.000000, tolerance=0.000010, penalty=40 : 1.838085
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.100000, penalty=1 : 1.797194
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.100000, penalty=10 : 1.863019
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.100000, penalty=20 : 1.847061
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.100000, penalty=30 : 1.863019
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.100000, penalty=40 : 1.943801
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.001000, penalty=1 : 1.818138
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.001000, penalty=10 : 1.891942
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.001000, penalty=20 : 1.905903
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.001000, penalty=30 : 1.851051
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.001000, penalty=40 : 1.866010
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.000010, penalty=1 : 1.961754
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.000010, penalty=10 : 1.869890
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.000010, penalty=20 : 1.949786
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.000010, penalty=30 : 1.879973
iteration:1, computational time when k=1,weight=8.000000, tolerance=0.000010, penalty=40 : 1.914880
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=1 : 16.273487
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=10 : 15.940377
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=20 : 11.935088
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=30 : 10.525911
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.100000, penalty=40 : 10.206708
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=1 : 18.812698
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=10 : 6.570432
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=20 : 15.867572
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=30 : 13.862932
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.001000, penalty=40 : 8.956053
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=1 : 12.521519
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=10 : 17.328666
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=20 : 10.237625
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=30 : 8.546149
iteration:1, computational time when k=2,weight=0.000000, tolerance=0.000010, penalty=40 : 8.407520
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=1 : 8.367626
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=10 : 10.663487
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=20 : 10.747263
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=30 : 6.982331
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.100000, penalty=40 : 10.620602
iteration:1, computational time when k=2,weight=2.000000, tolerance=0.001000, penalty=1 : 8.939098
