squared_hinge: tolerance:0.100000, penalty=1, test_accuracy = 0.973333 
squared_hinge: tolerance:0.100000, penalty=10, test_accuracy = 0.975000 
squared_hinge: tolerance:0.100000, penalty=20, test_accuracy = 0.973333 
squared_hinge: tolerance:0.100000, penalty=30, test_accuracy = 0.973333 
squared_hinge: tolerance:0.100000, penalty=40, test_accuracy = 0.975000 
squared_hinge: tolerance:0.001000, penalty=1, test_accuracy = 0.973333 
squared_hinge: tolerance:0.001000, penalty=10, test_accuracy = 0.973333 
squared_hinge: tolerance:0.001000, penalty=20, test_accuracy = 0.975000 
squared_hinge: tolerance:0.001000, penalty=30, test_accuracy = 0.973333 
squared_hinge: tolerance:0.001000, penalty=40, test_accuracy = 0.975000 
squared_hinge: tolerance:0.000010, penalty=1, test_accuracy = 0.973333 
squared_hinge: tolerance:0.000010, penalty=10, test_accuracy = 0.975000 
squared_hinge: tolerance:0.000010, penalty=20, test_accuracy = 0.973333 
squared_hinge: tolerance:0.000010, penalty=30, test_accuracy = 0.975000 
squared_hinge: tolerance:0.000010, penalty=40, test_accuracy = 0.976667 
hinge: tolerance:0.100000, penalty=1, test_accuracy = 0.966667 
hinge: tolerance:0.100000, penalty=10, test_accuracy = 0.968333 
hinge: tolerance:0.100000, penalty=20, test_accuracy = 0.970000 
hinge: tolerance:0.100000, penalty=30, test_accuracy = 0.970000 
hinge: tolerance:0.100000, penalty=40, test_accuracy = 0.973333 
hinge: tolerance:0.001000, penalty=1, test_accuracy = 0.965000 
hinge: tolerance:0.001000, penalty=10, test_accuracy = 0.968333 
hinge: tolerance:0.001000, penalty=20, test_accuracy = 0.968333 
hinge: tolerance:0.001000, penalty=30, test_accuracy = 0.970000 
hinge: tolerance:0.001000, penalty=40, test_accuracy = 0.968333 
hinge: tolerance:0.000010, penalty=1, test_accuracy = 0.965000 
hinge: tolerance:0.000010, penalty=10, test_accuracy = 0.968333 
hinge: tolerance:0.000010, penalty=20, test_accuracy = 0.968333 
hinge: tolerance:0.000010, penalty=30, test_accuracy = 0.970000 
hinge: tolerance:0.000010, penalty=40, test_accuracy = 0.965000 
