K=1,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9721428571428572
K=1,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9742857142857143
K=1,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9735714285714285
K=1,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.975
K=1,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9764285714285714
K=1,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9721428571428572
K=1,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9735714285714285
K=1,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9735714285714285
K=1,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9778571428571429
K=1,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9792857142857143
K=1,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9721428571428572
K=1,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9735714285714285
K=1,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9735714285714285
K=1,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9785714285714285
K=1,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9764285714285714
K=1,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9721428571428572
K=1,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9735714285714285
K=1,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9735714285714285
K=1,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9728571428571429
K=1,weight=2.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9771428571428571
K=1,weight=2.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9721428571428572
K=1,weight=2.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9735714285714285
K=1,weight=2.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9757142857142858
K=1,weight=2.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9778571428571429
K=1,weight=2.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9792857142857143
K=1,weight=2.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9721428571428572
K=1,weight=2.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9742857142857143
K=1,weight=2.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9735714285714285
K=1,weight=2.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9778571428571429
K=1,weight=2.000000,tolerance=0.000010, penalty=40, maximum training acc=0.975
K=1,weight=4.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9721428571428572
K=1,weight=4.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9735714285714285
K=1,weight=4.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9735714285714285
K=1,weight=4.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9764285714285714
K=1,weight=4.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9785714285714285
K=1,weight=4.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9721428571428572
K=1,weight=4.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9742857142857143
K=1,weight=4.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9735714285714285
K=1,weight=4.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9771428571428571
K=1,weight=4.000000,tolerance=0.001000, penalty=40, maximum training acc=0.98
K=1,weight=4.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9721428571428572
