K=1,weight=0.000000,tolerance=0.100000, penalty=1,training time : 0.404917, testing time: 0.020945 
K=1,weight=0.000000,tolerance=0.100000, penalty=10,training time : 0.710101, testing time: 0.019947 
K=1,weight=0.000000,tolerance=0.100000, penalty=20,training time : 0.591418, testing time: 0.024934 
K=1,weight=0.000000,tolerance=0.100000, penalty=30,training time : 0.564491, testing time: 0.026929 
K=1,weight=0.000000,tolerance=0.100000, penalty=40,training time : 0.517740, testing time: 0.023936 
K=1,weight=0.000000,tolerance=0.001000, penalty=1,training time : 0.434837, testing time: 0.020945 
K=1,weight=0.000000,tolerance=0.001000, penalty=10,training time : 0.477723, testing time: 0.017953 
K=1,weight=0.000000,tolerance=0.001000, penalty=20,training time : 0.550528, testing time: 0.020944 
K=1,weight=0.000000,tolerance=0.001000, penalty=30,training time : 0.847734, testing time: 0.020944 
K=1,weight=0.000000,tolerance=0.001000, penalty=40,training time : 0.827786, testing time: 0.026929 
K=1,weight=0.000000,tolerance=0.000010, penalty=1,training time : 0.504651, testing time: 0.021942 
K=1,weight=0.000000,tolerance=0.000010, penalty=10,training time : 0.528587, testing time: 0.020944 
K=1,weight=0.000000,tolerance=0.000010, penalty=20,training time : 0.826790, testing time: 0.023935 
K=1,weight=0.000000,tolerance=0.000010, penalty=30,training time : 0.557510, testing time: 0.018949 
K=1,weight=0.000000,tolerance=0.000010, penalty=40,training time : 0.826790, testing time: 0.020944 
K=1,weight=2.000000,tolerance=0.100000, penalty=1,training time : 0.413893, testing time: 0.018951 
K=1,weight=2.000000,tolerance=0.100000, penalty=10,training time : 0.474731, testing time: 0.025931 
K=1,weight=2.000000,tolerance=0.100000, penalty=20,training time : 0.513626, testing time: 0.021941 
K=1,weight=2.000000,tolerance=0.100000, penalty=30,training time : 0.509638, testing time: 0.019947 
K=1,weight=2.000000,tolerance=0.100000, penalty=40,training time : 0.503654, testing time: 0.026928 
K=1,weight=2.000000,tolerance=0.001000, penalty=1,training time : 0.460768, testing time: 0.024933 
K=1,weight=2.000000,tolerance=0.001000, penalty=10,training time : 0.489691, testing time: 0.024933 
K=1,weight=2.000000,tolerance=0.001000, penalty=20,training time : 0.482709, testing time: 0.022938 
K=1,weight=2.000000,tolerance=0.001000, penalty=30,training time : 0.506645, testing time: 0.027926 
K=1,weight=2.000000,tolerance=0.001000, penalty=40,training time : 0.482709, testing time: 0.020945 
K=1,weight=2.000000,tolerance=0.000010, penalty=1,training time : 0.481712, testing time: 0.022939 
K=1,weight=2.000000,tolerance=0.000010, penalty=10,training time : 0.497669, testing time: 0.019947 
K=1,weight=2.000000,tolerance=0.000010, penalty=20,training time : 0.483706, testing time: 0.022939 
K=1,weight=2.000000,tolerance=0.000010, penalty=30,training time : 0.551525, testing time: 0.020916 
K=1,weight=2.000000,tolerance=0.000010, penalty=40,training time : 0.496672, testing time: 0.025932 
K=1,weight=4.000000,tolerance=0.100000, penalty=1,training time : 0.417882, testing time: 0.029921 
K=1,weight=4.000000,tolerance=0.100000, penalty=10,training time : 0.489691, testing time: 0.020944 
K=1,weight=4.000000,tolerance=0.100000, penalty=20,training time : 0.530582, testing time: 0.021941 
K=1,weight=4.000000,tolerance=0.100000, penalty=30,training time : 0.559504, testing time: 0.020944 
K=1,weight=4.000000,tolerance=0.100000, penalty=40,training time : 0.477723, testing time: 0.024934 
K=1,weight=4.000000,tolerance=0.001000, penalty=1,training time : 0.457775, testing time: 0.025931 
K=1,weight=4.000000,tolerance=0.001000, penalty=10,training time : 0.506645, testing time: 0.024933 
K=1,weight=4.000000,tolerance=0.001000, penalty=20,training time : 0.587429, testing time: 0.018950 
K=1,weight=4.000000,tolerance=0.001000, penalty=30,training time : 0.476725, testing time: 0.020944 
K=1,weight=4.000000,tolerance=0.001000, penalty=40,training time : 0.500661, testing time: 0.019947 
K=1,weight=4.000000,tolerance=0.000010, penalty=1,training time : 0.486699, testing time: 0.020944 
K=1,weight=4.000000,tolerance=0.000010, penalty=10,training time : 0.565487, testing time: 0.020944 
K=1,weight=4.000000,tolerance=0.000010, penalty=20,training time : 0.514624, testing time: 0.018949 
K=1,weight=4.000000,tolerance=0.000010, penalty=30,training time : 0.495675, testing time: 0.033909 
K=1,weight=4.000000,tolerance=0.000010, penalty=40,training time : 0.523601, testing time: 0.018949 
K=1,weight=6.000000,tolerance=0.100000, penalty=1,training time : 0.406911, testing time: 0.019947 
K=1,weight=6.000000,tolerance=0.100000, penalty=10,training time : 0.505648, testing time: 0.018950 
K=1,weight=6.000000,tolerance=0.100000, penalty=20,training time : 0.479717, testing time: 0.033910 
K=1,weight=6.000000,tolerance=0.100000, penalty=30,training time : 0.519611, testing time: 0.021942 
K=1,weight=6.000000,tolerance=0.100000, penalty=40,training time : 0.489690, testing time: 0.018949 
K=1,weight=6.000000,tolerance=0.001000, penalty=1,training time : 0.619344, testing time: 0.059840 
K=1,weight=6.000000,tolerance=0.001000, penalty=10,training time : 0.492683, testing time: 0.019947 
K=1,weight=6.000000,tolerance=0.001000, penalty=20,training time : 0.491686, testing time: 0.026928 
K=1,weight=6.000000,tolerance=0.001000, penalty=30,training time : 0.509636, testing time: 0.027926 
K=1,weight=6.000000,tolerance=0.001000, penalty=40,training time : 0.525594, testing time: 0.024933 
