K=1,weight=0.000000,tolerance=0.100000, penalty=1,training time : 2.398582, testing time: 0.037899 
K=1,weight=0.000000,tolerance=0.100000, penalty=10,training time : 2.918193, testing time: 0.036901 
K=1,weight=0.000000,tolerance=0.100000, penalty=20,training time : 3.164534, testing time: 0.036901 
K=1,weight=0.000000,tolerance=0.100000, penalty=30,training time : 3.042859, testing time: 0.036901 
K=1,weight=0.000000,tolerance=0.100000, penalty=40,training time : 6.377936, testing time: 0.036901 
K=1,weight=0.000000,tolerance=0.001000, penalty=1,training time : 2.731691, testing time: 0.035905 
K=1,weight=0.000000,tolerance=0.001000, penalty=10,training time : 2.878298, testing time: 0.036902 
K=1,weight=0.000000,tolerance=0.001000, penalty=20,training time : 2.934150, testing time: 0.037900 
K=1,weight=0.000000,tolerance=0.001000, penalty=30,training time : 6.424810, testing time: 0.045878 
K=1,weight=0.000000,tolerance=0.001000, penalty=40,training time : 2.995985, testing time: 0.036902 
K=1,weight=0.000000,tolerance=0.000010, penalty=1,training time : 2.692795, testing time: 0.036902 
K=1,weight=0.000000,tolerance=0.000010, penalty=10,training time : 2.903232, testing time: 0.037899 
K=1,weight=0.000000,tolerance=0.000010, penalty=20,training time : 2.904229, testing time: 0.037002 
K=1,weight=0.000000,tolerance=0.000010, penalty=30,training time : 4.609667, testing time: 0.037899 
K=1,weight=0.000000,tolerance=0.000010, penalty=40,training time : 2.911211, testing time: 0.040891 
K=1,weight=2.000000,tolerance=0.100000, penalty=1,training time : 2.375644, testing time: 0.036901 
K=1,weight=2.000000,tolerance=0.100000, penalty=10,training time : 2.888273, testing time: 0.035904 
K=1,weight=2.000000,tolerance=0.100000, penalty=20,training time : 2.864336, testing time: 0.036901 
K=1,weight=2.000000,tolerance=0.100000, penalty=30,training time : 2.976037, testing time: 0.036902 
K=1,weight=2.000000,tolerance=0.100000, penalty=40,training time : 4.608669, testing time: 0.045877 
K=1,weight=2.000000,tolerance=0.001000, penalty=1,training time : 2.652902, testing time: 0.035904 
K=1,weight=2.000000,tolerance=0.001000, penalty=10,training time : 2.799510, testing time: 0.036902 
K=1,weight=2.000000,tolerance=0.001000, penalty=20,training time : 2.865334, testing time: 0.036901 
K=1,weight=2.000000,tolerance=0.001000, penalty=30,training time : 2.929163, testing time: 0.037899 
K=1,weight=2.000000,tolerance=0.001000, penalty=40,training time : 2.906224, testing time: 0.036901 
K=1,weight=2.000000,tolerance=0.000010, penalty=1,training time : 2.648913, testing time: 0.035905 
K=1,weight=2.000000,tolerance=0.000010, penalty=10,training time : 2.926171, testing time: 0.037898 
K=1,weight=2.000000,tolerance=0.000010, penalty=20,training time : 3.025904, testing time: 0.046876 
K=1,weight=2.000000,tolerance=0.000010, penalty=30,training time : 3.018923, testing time: 0.036902 
K=1,weight=2.000000,tolerance=0.000010, penalty=40,training time : 2.965067, testing time: 0.035904 
K=1,weight=4.000000,tolerance=0.100000, penalty=1,training time : 2.326775, testing time: 0.036904 
K=1,weight=4.000000,tolerance=0.100000, penalty=10,training time : 2.820453, testing time: 0.036902 
K=1,weight=4.000000,tolerance=0.100000, penalty=20,training time : 2.917195, testing time: 0.038896 
K=1,weight=4.000000,tolerance=0.100000, penalty=30,training time : 3.098709, testing time: 0.044881 
K=1,weight=4.000000,tolerance=0.100000, penalty=40,training time : 2.981024, testing time: 0.036901 
K=1,weight=4.000000,tolerance=0.001000, penalty=1,training time : 2.681825, testing time: 0.036902 
K=1,weight=4.000000,tolerance=0.001000, penalty=10,training time : 2.933152, testing time: 0.045878 
K=1,weight=4.000000,tolerance=0.001000, penalty=20,training time : 3.017926, testing time: 0.036902 
K=1,weight=4.000000,tolerance=0.001000, penalty=30,training time : 2.949110, testing time: 0.035904 
K=1,weight=4.000000,tolerance=0.001000, penalty=40,training time : 2.962075, testing time: 0.036902 
K=1,weight=4.000000,tolerance=0.000010, penalty=1,training time : 2.625974, testing time: 0.040891 
K=1,weight=4.000000,tolerance=0.000010, penalty=10,training time : 2.843392, testing time: 0.038896 
K=1,weight=4.000000,tolerance=0.000010, penalty=20,training time : 2.892262, testing time: 0.036902 
K=1,weight=4.000000,tolerance=0.000010, penalty=30,training time : 2.874311, testing time: 0.039893 
K=1,weight=4.000000,tolerance=0.000010, penalty=40,training time : 2.966064, testing time: 0.035904 
K=1,weight=6.000000,tolerance=0.100000, penalty=1,training time : 2.350710, testing time: 0.035904 
K=1,weight=6.000000,tolerance=0.100000, penalty=10,training time : 2.912209, testing time: 0.035904 
K=1,weight=6.000000,tolerance=0.100000, penalty=20,training time : 2.896251, testing time: 0.037899 
K=1,weight=6.000000,tolerance=0.100000, penalty=30,training time : 2.887275, testing time: 0.035905 
K=1,weight=6.000000,tolerance=0.100000, penalty=40,training time : 2.922182, testing time: 0.036901 
K=1,weight=6.000000,tolerance=0.001000, penalty=1,training time : 2.711744, testing time: 0.036901 
K=1,weight=6.000000,tolerance=0.001000, penalty=10,training time : 2.809483, testing time: 0.035904 
K=1,weight=6.000000,tolerance=0.001000, penalty=20,training time : 2.911210, testing time: 0.041888 
K=1,weight=6.000000,tolerance=0.001000, penalty=30,training time : 2.854363, testing time: 0.039893 
K=1,weight=6.000000,tolerance=0.001000, penalty=40,training time : 3.033883, testing time: 0.036902 
K=1,weight=6.000000,tolerance=0.000010, penalty=1,training time : 2.733686, testing time: 0.046875 
K=1,weight=6.000000,tolerance=0.000010, penalty=10,training time : 3.091728, testing time: 0.035904 
K=1,weight=6.000000,tolerance=0.000010, penalty=20,training time : 2.871318, testing time: 0.036902 
K=1,weight=6.000000,tolerance=0.000010, penalty=30,training time : 2.905227, testing time: 0.036901 
K=1,weight=6.000000,tolerance=0.000010, penalty=40,training time : 2.953099, testing time: 0.037899 
K=1,weight=8.000000,tolerance=0.100000, penalty=1,training time : 2.534219, testing time: 0.037806 
K=1,weight=8.000000,tolerance=0.100000, penalty=10,training time : 2.945120, testing time: 0.038783 
K=1,weight=8.000000,tolerance=0.100000, penalty=20,training time : 2.881291, testing time: 0.035905 
K=1,weight=8.000000,tolerance=0.100000, penalty=30,training time : 2.871318, testing time: 0.035904 
K=1,weight=8.000000,tolerance=0.100000, penalty=40,training time : 2.951104, testing time: 0.038897 
K=1,weight=8.000000,tolerance=0.001000, penalty=1,training time : 2.599047, testing time: 0.036902 
K=1,weight=8.000000,tolerance=0.001000, penalty=10,training time : 2.823446, testing time: 0.036901 
K=1,weight=8.000000,tolerance=0.001000, penalty=20,training time : 2.838406, testing time: 0.035905 
K=1,weight=8.000000,tolerance=0.001000, penalty=30,training time : 2.949110, testing time: 0.035905 
K=1,weight=8.000000,tolerance=0.001000, penalty=40,training time : 2.890267, testing time: 0.036902 
K=1,weight=8.000000,tolerance=0.000010, penalty=1,training time : 2.672849, testing time: 0.037899 
K=1,weight=8.000000,tolerance=0.000010, penalty=10,training time : 2.795520, testing time: 0.035903 
K=1,weight=8.000000,tolerance=0.000010, penalty=20,training time : 2.918192, testing time: 0.036901 
K=1,weight=8.000000,tolerance=0.000010, penalty=30,training time : 2.879296, testing time: 0.036901 
K=1,weight=8.000000,tolerance=0.000010, penalty=40,training time : 2.957088, testing time: 0.036902 
K=2,weight=0.000000,tolerance=0.100000, penalty=1,training time : 25.336213, testing time: 0.055850 
K=2,weight=0.000000,tolerance=0.100000, penalty=10,training time : 23.355512, testing time: 0.051861 
K=2,weight=0.000000,tolerance=0.100000, penalty=20,training time : 42.929143, testing time: 0.051861 
K=2,weight=0.000000,tolerance=0.100000, penalty=30,training time : 23.336562, testing time: 0.065824 
K=2,weight=0.000000,tolerance=0.100000, penalty=40,training time : 33.495383, testing time: 0.064827 
K=2,weight=0.000000,tolerance=0.001000, penalty=1,training time : 32.635683, testing time: 0.056848 
K=2,weight=0.000000,tolerance=0.001000, penalty=10,training time : 42.919170, testing time: 0.051862 
K=2,weight=0.000000,tolerance=0.001000, penalty=20,training time : 25.367131, testing time: 0.052859 
K=2,weight=0.000000,tolerance=0.001000, penalty=30,training time : 20.609858, testing time: 0.051862 
K=2,weight=0.000000,tolerance=0.001000, penalty=40,training time : 23.193945, testing time: 0.052860 
K=2,weight=0.000000,tolerance=0.000010, penalty=1,training time : 27.447564, testing time: 0.052002 
K=2,weight=0.000000,tolerance=0.000010, penalty=10,training time : 25.339205, testing time: 0.051862 
K=2,weight=0.000000,tolerance=0.000010, penalty=20,training time : 19.138795, testing time: 0.051862 
K=2,weight=0.000000,tolerance=0.000010, penalty=30,training time : 31.886687, testing time: 0.052859 
K=2,weight=0.000000,tolerance=0.000010, penalty=40,training time : 33.445516, testing time: 0.054853 
K=2,weight=2.000000,tolerance=0.100000, penalty=1,training time : 7.211705, testing time: 0.051862 
K=2,weight=2.000000,tolerance=0.100000, penalty=10,training time : 8.432439, testing time: 0.051861 
K=2,weight=2.000000,tolerance=0.100000, penalty=20,training time : 10.772179, testing time: 0.050865 
K=2,weight=2.000000,tolerance=0.100000, penalty=30,training time : 10.936739, testing time: 0.051862 
K=2,weight=2.000000,tolerance=0.100000, penalty=40,training time : 19.956620, testing time: 0.051862 
K=2,weight=2.000000,tolerance=0.001000, penalty=1,training time : 17.251843, testing time: 0.050865 
K=2,weight=2.000000,tolerance=0.001000, penalty=10,training time : 8.375591, testing time: 0.050864 
K=2,weight=2.000000,tolerance=0.001000, penalty=20,training time : 13.328339, testing time: 0.063748 
K=2,weight=2.000000,tolerance=0.001000, penalty=30,training time : 10.891859, testing time: 0.051862 
K=2,weight=2.000000,tolerance=0.001000, penalty=40,training time : 20.639778, testing time: 0.050864 
K=2,weight=2.000000,tolerance=0.000010, penalty=1,training time : 12.776816, testing time: 0.056848 
