iteration = 1, testing time when k = 2, rho = 0.100000: 3.166859
iteration = 1, testing time when k = 2, rho = 0.300000: 3.450476
iteration = 1, testing time when k = 2, rho = 0.500000: 3.569921
iteration = 1, testing time when k = 2, rho = 0.700000: 4.077295
iteration = 1, testing time when k = 2, rho = 0.900000: 4.154329
iteration = 1, testing time when k = 3, rho = 0.100000: 7.135320
iteration = 1, testing time when k = 3, rho = 0.300000: 7.559792
iteration = 1, testing time when k = 3, rho = 0.500000: 8.373950
iteration = 1, testing time when k = 3, rho = 0.700000: 9.126564
iteration = 1, testing time when k = 3, rho = 0.900000: 10.068188
iteration = 1, testing time when k = 4, rho = 0.100000: 14.804843
iteration = 1, testing time when k = 4, rho = 0.300000: 16.680305
iteration = 1, testing time when k = 4, rho = 0.500000: 18.166245
iteration = 1, testing time when k = 4, rho = 0.700000: 20.319528
iteration = 1, testing time when k = 4, rho = 0.900000: 21.925218
k = 2, rho = 0.100000, avg_testing_time : 4.154329 
k = 2, rho = 0.300000, avg_testing_time : 4.154329 
k = 2, rho = 0.500000, avg_testing_time : 4.154329 
k = 2, rho = 0.700000, avg_testing_time : 4.154329 
k = 2, rho = 0.900000, avg_testing_time : 4.154329 
k = 3, rho = 0.100000, avg_testing_time : 10.068188 
k = 3, rho = 0.300000, avg_testing_time : 10.068188 
k = 3, rho = 0.500000, avg_testing_time : 10.068188 
k = 3, rho = 0.700000, avg_testing_time : 10.068188 
k = 3, rho = 0.900000, avg_testing_time : 10.068188 
k = 4, rho = 0.100000, avg_testing_time : 21.925218 
k = 4, rho = 0.300000, avg_testing_time : 21.925218 
k = 4, rho = 0.500000, avg_testing_time : 21.925218 
k = 4, rho = 0.700000, avg_testing_time : 21.925218 
k = 4, rho = 0.900000, avg_testing_time : 21.925218 
k = 2, rho = 0.100000, testing_time(maxacc): 4.154329 
k = 2, rho = 0.300000, testing_time(maxacc): 4.154329 
k = 2, rho = 0.500000, testing_time(maxacc): 4.154329 
k = 2, rho = 0.700000, testing_time(maxacc): 4.154329 
k = 2, rho = 0.900000, testing_time(maxacc): 4.154329 
k = 3, rho = 0.100000, testing_time(maxacc): 10.068188 
k = 3, rho = 0.300000, testing_time(maxacc): 10.068188 
k = 3, rho = 0.500000, testing_time(maxacc): 10.068188 
k = 3, rho = 0.700000, testing_time(maxacc): 10.068188 
k = 3, rho = 0.900000, testing_time(maxacc): 10.068188 
k = 4, rho = 0.100000, testing_time(maxacc): 21.925218 
k = 4, rho = 0.300000, testing_time(maxacc): 21.925218 
k = 4, rho = 0.500000, testing_time(maxacc): 21.925218 
k = 4, rho = 0.700000, testing_time(maxacc): 21.925218 
k = 4, rho = 0.900000, testing_time(maxacc): 21.925218 
iteration = 1, testing time when k = 2, rho = 0.100000: 2.998814
iteration = 1, testing time when k = 2, rho = 0.300000: 3.116321
iteration = 1, testing time when k = 2, rho = 0.500000: 3.419113
iteration = 1, testing time when k = 2, rho = 0.700000: 3.938553
iteration = 1, testing time when k = 2, rho = 0.900000: 3.951291
iteration = 1, testing time when k = 3, rho = 0.100000: 6.891277
iteration = 1, testing time when k = 3, rho = 0.300000: 7.224640
iteration = 1, testing time when k = 3, rho = 0.500000: 7.983944
iteration = 1, testing time when k = 3, rho = 0.700000: 8.756326
iteration = 1, testing time when k = 3, rho = 0.900000: 9.661747
iteration = 1, testing time when k = 4, rho = 0.100000: 14.354113
iteration = 1, testing time when k = 4, rho = 0.300000: 15.784122
iteration = 1, testing time when k = 4, rho = 0.500000: 17.475988
iteration = 1, testing time when k = 4, rho = 0.700000: 19.253939
iteration = 1, testing time when k = 4, rho = 0.900000: 20.662294
