iteration = 1, training time when k = 2, rho = 0.100000: 105.141086
iteration = 1, training time when k = 2, rho = 0.300000: 108.848787
iteration = 1, training time when k = 2, rho = 0.500000: 115.133926
iteration = 1, training time when k = 2, rho = 0.700000: 119.313800
iteration = 1, training time when k = 2, rho = 0.900000: 123.214382
iteration = 1, training time when k = 3, rho = 0.100000: 146.488762
iteration = 1, training time when k = 3, rho = 0.300000: 153.249391
iteration = 1, training time when k = 3, rho = 0.500000: 170.150686
iteration = 1, training time when k = 3, rho = 0.700000: 183.286154
iteration = 1, training time when k = 3, rho = 0.900000: 196.068889
iteration = 1, training time when k = 4, rho = 0.100000: 250.119261
iteration = 1, training time when k = 4, rho = 0.300000: 268.175487
iteration = 1, training time when k = 4, rho = 0.500000: 296.445164
iteration = 1, training time when k = 4, rho = 0.700000: 320.367610
iteration = 1, training time when k = 4, rho = 0.900000: 343.158382
k = 2, rho = 0.100000, avg_training_time : 123.214382 
k = 2, rho = 0.300000, avg_training_time : 123.214382 
k = 2, rho = 0.500000, avg_training_time : 123.214382 
k = 2, rho = 0.700000, avg_training_time : 123.214382 
k = 2, rho = 0.900000, avg_training_time : 123.214382 
k = 3, rho = 0.100000, avg_training_time : 196.068889 
k = 3, rho = 0.300000, avg_training_time : 196.068889 
k = 3, rho = 0.500000, avg_training_time : 196.068889 
k = 3, rho = 0.700000, avg_training_time : 196.068889 
k = 3, rho = 0.900000, avg_training_time : 196.068889 
k = 4, rho = 0.100000, avg_training_time : 343.158382 
k = 4, rho = 0.300000, avg_training_time : 343.158382 
k = 4, rho = 0.500000, avg_training_time : 343.158382 
k = 4, rho = 0.700000, avg_training_time : 343.158382 
k = 4, rho = 0.900000, avg_training_time : 343.158382 
k = 2, rho = 0.100000, training_time(maxacc): 123.214382 
k = 2, rho = 0.300000, training_time(maxacc): 123.214382 
k = 2, rho = 0.500000, training_time(maxacc): 123.214382 
k = 2, rho = 0.700000, training_time(maxacc): 123.214382 
k = 2, rho = 0.900000, training_time(maxacc): 123.214382 
k = 3, rho = 0.100000, training_time(maxacc): 196.068889 
k = 3, rho = 0.300000, training_time(maxacc): 196.068889 
k = 3, rho = 0.500000, training_time(maxacc): 196.068889 
k = 3, rho = 0.700000, training_time(maxacc): 196.068889 
k = 3, rho = 0.900000, training_time(maxacc): 196.068889 
k = 4, rho = 0.100000, training_time(maxacc): 343.158382 
k = 4, rho = 0.300000, training_time(maxacc): 343.158382 
k = 4, rho = 0.500000, training_time(maxacc): 343.158382 
k = 4, rho = 0.700000, training_time(maxacc): 343.158382 
k = 4, rho = 0.900000, training_time(maxacc): 343.158382 
iteration = 1, training time when k = 2, rho = 0.100000: 105.393100
iteration = 1, training time when k = 2, rho = 0.300000: 107.302095
iteration = 1, training time when k = 2, rho = 0.500000: 111.201904
iteration = 1, training time when k = 2, rho = 0.700000: 113.778472
iteration = 1, training time when k = 2, rho = 0.900000: 119.561749
iteration = 1, training time when k = 3, rho = 0.100000: 143.507941
iteration = 1, training time when k = 3, rho = 0.300000: 154.485484
iteration = 1, training time when k = 3, rho = 0.500000: 164.935007
iteration = 1, training time when k = 3, rho = 0.700000: 179.017582
iteration = 1, training time when k = 3, rho = 0.900000: 191.242136
iteration = 1, training time when k = 4, rho = 0.100000: 226.936817
iteration = 1, training time when k = 4, rho = 0.300000: 255.073477
iteration = 1, training time when k = 4, rho = 0.500000: 281.197548
iteration = 1, training time when k = 4, rho = 0.700000: 303.068618
