iteration = 1, testing time when k = 2, rho = 0.100000: 4.351421
iteration = 1, testing time when k = 2, rho = 0.300000: 4.893621
iteration = 1, testing time when k = 2, rho = 0.500000: 5.131182
iteration = 1, testing time when k = 2, rho = 0.700000: 5.593042
iteration = 1, testing time when k = 2, rho = 0.900000: 6.088582
iteration = 1, testing time when k = 3, rho = 0.100000: 8.432819
iteration = 1, testing time when k = 3, rho = 0.300000: 9.484970
iteration = 1, testing time when k = 3, rho = 0.500000: 10.360950
iteration = 1, testing time when k = 3, rho = 0.700000: 11.324630
iteration = 1, testing time when k = 3, rho = 0.900000: 12.251798
iteration = 1, testing time when k = 4, rho = 0.100000: 16.836372
iteration = 1, testing time when k = 4, rho = 0.300000: 18.691280
iteration = 1, testing time when k = 4, rho = 0.500000: 20.689004
iteration = 1, testing time when k = 4, rho = 0.700000: 22.614163
iteration = 1, testing time when k = 4, rho = 0.900000: 25.662796
k = 2, rho = 0.100000, avg_testing_time : 6.088582 
k = 2, rho = 0.300000, avg_testing_time : 6.088582 
k = 2, rho = 0.500000, avg_testing_time : 6.088582 
k = 2, rho = 0.700000, avg_testing_time : 6.088582 
k = 2, rho = 0.900000, avg_testing_time : 6.088582 
k = 3, rho = 0.100000, avg_testing_time : 12.251798 
k = 3, rho = 0.300000, avg_testing_time : 12.251798 
k = 3, rho = 0.500000, avg_testing_time : 12.251798 
k = 3, rho = 0.700000, avg_testing_time : 12.251798 
k = 3, rho = 0.900000, avg_testing_time : 12.251798 
k = 4, rho = 0.100000, avg_testing_time : 25.662796 
k = 4, rho = 0.300000, avg_testing_time : 25.662796 
k = 4, rho = 0.500000, avg_testing_time : 25.662796 
k = 4, rho = 0.700000, avg_testing_time : 25.662796 
k = 4, rho = 0.900000, avg_testing_time : 25.662796 
k = 2, rho = 0.100000, testing_time(maxacc): 6.088582 
k = 2, rho = 0.300000, testing_time(maxacc): 6.088582 
k = 2, rho = 0.500000, testing_time(maxacc): 6.088582 
k = 2, rho = 0.700000, testing_time(maxacc): 6.088582 
k = 2, rho = 0.900000, testing_time(maxacc): 6.088582 
k = 3, rho = 0.100000, testing_time(maxacc): 12.251798 
k = 3, rho = 0.300000, testing_time(maxacc): 12.251798 
k = 3, rho = 0.500000, testing_time(maxacc): 12.251798 
k = 3, rho = 0.700000, testing_time(maxacc): 12.251798 
k = 3, rho = 0.900000, testing_time(maxacc): 12.251798 
k = 4, rho = 0.100000, testing_time(maxacc): 25.662796 
k = 4, rho = 0.300000, testing_time(maxacc): 25.662796 
k = 4, rho = 0.500000, testing_time(maxacc): 25.662796 
k = 4, rho = 0.700000, testing_time(maxacc): 25.662796 
k = 4, rho = 0.900000, testing_time(maxacc): 25.662796 
iteration = 1, testing time when k = 2, rho = 0.100000: 4.413662
iteration = 1, testing time when k = 2, rho = 0.300000: 4.897450
iteration = 1, testing time when k = 2, rho = 0.500000: 5.278147
iteration = 1, testing time when k = 2, rho = 0.700000: 5.681278
iteration = 1, testing time when k = 2, rho = 0.900000: 6.102806
iteration = 1, testing time when k = 3, rho = 0.100000: 8.338418
iteration = 1, testing time when k = 3, rho = 0.300000: 9.138023
iteration = 1, testing time when k = 3, rho = 0.500000: 10.326320
iteration = 1, testing time when k = 3, rho = 0.700000: 11.281082
iteration = 1, testing time when k = 3, rho = 0.900000: 11.581829
iteration = 1, testing time when k = 4, rho = 0.100000: 16.607475
iteration = 1, testing time when k = 4, rho = 0.300000: 18.484911
iteration = 1, testing time when k = 4, rho = 0.500000: 20.328808
iteration = 1, testing time when k = 4, rho = 0.700000: 22.699236
iteration = 1, testing time when k = 4, rho = 0.900000: 25.690018
k = 2, rho = 0.100000, avg_testing_time : 6.102806 
k = 2, rho = 0.300000, avg_testing_time : 6.102806 
k = 2, rho = 0.500000, avg_testing_time : 6.102806 
k = 2, rho = 0.700000, avg_testing_time : 6.102806 
k = 2, rho = 0.900000, avg_testing_time : 6.102806 
k = 3, rho = 0.100000, avg_testing_time : 11.581829 
k = 3, rho = 0.300000, avg_testing_time : 11.581829 
k = 3, rho = 0.500000, avg_testing_time : 11.581829 
k = 3, rho = 0.700000, avg_testing_time : 11.581829 
k = 3, rho = 0.900000, avg_testing_time : 11.581829 
k = 4, rho = 0.100000, avg_testing_time : 25.690018 
k = 4, rho = 0.300000, avg_testing_time : 25.690018 
